fy,id,perCap,fillKey
2011,AK,88.32,4
2011,AL,7.57,1
2011,AR,11.69,1
2011,AZ,12.52,1
2011,CA,17.32,1
2011,CO,25.31,2
2011,CT,9.14,1
2011,DC,89.48,4
2011,DE,7.82,1
2011,FL,9.75,1
2011,GA,19.84,1
2011,HI,64.14,3
2011,IA,5.7,1
2011,ID,16.52,1
2011,IL,11.19,1
2011,IN,3.64,1
2011,KS,18.77,1
2011,KY,31.82,2
2011,LA,38.6,2
2011,MA,14.58,1
2011,MD,8.78,1
2011,ME,8.51,1
2011,MI,6.61,1
2011,MN,17.49,1
2011,MO,5.25,1
2011,MS,7.28,1
2011,MT,60.45,3
2011,NC,8.55,1
2011,ND,16.08,1
2011,NE,8.58,1
2011,NH,2.86,1
2011,NJ,6.67,1
2011,NM,34.46,2
2011,NV,39.07,2
2011,NY,15.23,1
2011,OH,8.9,1
2011,OK,33.26,2
2011,OR,20.87,1
2011,PA,17.94,1
2011,PR,13.47,1
2011,RI,24.51,1
2011,SC,12.54,1
2011,SD,30,2
2011,TN,7.18,1
2011,TX,27.93,2
2011,UT,12.99,1
2011,VA,6.73,1
2011,VT,41.62,2
2011,WA,19.71,1
2011,WI,12.81,1
2011,WV,5.29,1
2011,WY,54.18,3
