fy,id,perCap,fillKey
2012,AK,112.93,5
2012,AL,36.91,2
2012,AR,23.87,1
2012,AZ,17.27,1
2012,CA,19.88,1
2012,CO,15.23,1
2012,CT,22.64,1
2012,DC,338.68,9
2012,DE,82.71,4
2012,FL,16.85,1
2012,GA,17.53,1
2012,HI,51.43,3
2012,IA,4.83,1
2012,ID,16.75,1
2012,IL,8.59,1
2012,IN,10.14,1
2012,KS,19.05,1
2012,KY,13.39,1
2012,LA,32.39,2
2012,MA,24.47,1
2012,MD,25.05,2
2012,ME,22.83,1
2012,MI,8.29,1
2012,MN,23.01,1
2012,MO,11.06,1
2012,MS,38.92,2
2012,MT,30.41,2
2012,NC,30.63,2
2012,ND,21.66,1
2012,NE,18.76,1
2012,NH,25.23,2
2012,NJ,10.45,1
2012,NM,25,1
2012,NV,21.88,1
2012,NY,12.69,1
2012,OH,14.93,1
2012,OK,21.7,1
2012,OR,15.66,1
2012,PA,7.25,1
2012,PR,10.38,1
2012,RI,63.52,3
2012,SC,32.87,2
2012,SD,9.47,1
2012,TN,20.26,1
2012,TX,16.21,1
2012,UT,10.35,1
2012,VA,13.2,1
2012,VT,25.19,2
2012,WA,16.13,1
2012,WI,12.14,1
2012,WV,26.31,2
2012,WY,11.55,1
