fy,id,perCap,fillKey
2006,AK,138.01,6
2006,AL,8.71,1
2006,AR,10.98,1
2006,AZ,10.62,1
2006,CA,10.37,1
2006,CO,16.11,1
2006,CT,13.43,1
2006,DC,173.52,7
2006,DE,5.16,1
2006,FL,6.27,1
2006,GA,5.99,1
2006,HI,55.9,3
2006,IA,11.98,1
2006,ID,20.95,1
2006,IL,13.34,1
2006,IN,7.58,1
2006,KS,21.5,1
2006,KY,15.86,1
2006,LA,51.69,3
2006,MA,15.83,1
2006,MD,10.02,1
2006,ME,13.87,1
2006,MI,9.19,1
2006,MN,10.84,1
2006,MO,8.42,1
2006,MS,45.84,2
2006,MT,23.63,1
2006,NC,11.03,1
2006,ND,41.08,2
2006,NE,10.46,1
2006,NH,6.15,1
2006,NJ,9.91,1
2006,NM,40.43,2
2006,NV,12.07,1
2006,NY,11.68,1
2006,OH,6.63,1
2006,OK,12.15,1
2006,OR,22.15,1
2006,PA,7.62,1
2006,PR,9.33,1
2006,RI,14.96,1
2006,SC,11.94,1
2006,SD,23.08,1
2006,TN,17.49,1
2006,TX,8.3,1
2006,UT,13.04,1
2006,VA,9.8,1
2006,VT,12.17,1
2006,WA,16.41,1
2006,WI,12.55,1
2006,WV,5.19,1
2006,WY,26.9,2
