fy,id,perCap,fillKey
2010,KY,17.33,1
2011,KY,31.82,2
2012,KY,13.39,1
2013,KY,13.34,1
2014,KY,8.15,1
2015,KY,4.14,1
2001,LA,21.88,1
2002,LA,15.59,1
2003,LA,11.75,1
2004,LA,27.46,2
2005,LA,9.84,1
2006,LA,51.69,3
2007,LA,50.63,3
2008,LA,15.37,1
2009,LA,20.92,1
2010,LA,42.73,2
2011,LA,38.6,2
2012,LA,32.39,2
2013,LA,1.16,1
2014,LA,5.94,1
2015,LA,7.58,1
2001,MA,22.06,1
2002,MA,15.95,1
2003,MA,16.07,1
2004,MA,14.38,1
2005,MA,18.05,1
2006,MA,15.83,1
2007,MA,23.95,1
2008,MA,13.51,1
2009,MA,17.48,1
2010,MA,78.26,4
2011,MA,14.58,1
2012,MA,24.47,1
2013,MA,5.05,1
2014,MA,9.92,1
2015,MA,9.47,1
2001,MD,17.22,1
2002,MD,12.73,1
2003,MD,16.12,1
2004,MD,24.67,1
2005,MD,15.41,1
2006,MD,10.02,1
2007,MD,28.99,2
2008,MD,10.42,1
2009,MD,10.88,1
2010,MD,90.1,4
2011,MD,8.78,1
2012,MD,25.05,2
2013,MD,11.57,1
2014,MD,3.31,1
2015,MD,8.96,1
2001,ME,22.82,1
2002,ME,13.06,1
2003,ME,15.19,1
2004,ME,7.16,1
2005,ME,34.28,2
2006,ME,13.87,1
2007,ME,15.08,1
2008,ME,10.92,1
2009,ME,2.81,1
2010,ME,23.34,1
2011,ME,8.51,1
2012,ME,22.83,1
2013,ME,13.36,1
2014,ME,7.91,1
2015,ME,9.98,1
2001,MI,15.1,1
2002,MI,8.22,1
2003,MI,8.33,1
2004,MI,6.34,1
2005,MI,8.8,1
2006,MI,9.19,1
2007,MI,13.31,1
2008,MI,5.95,1
2009,MI,4.96,1
2010,MI,18.82,1
2011,MI,6.61,1
2012,MI,8.29,1
2013,MI,8.12,1
2014,MI,3.56,1
2015,MI,2.34,1
2001,MN,25.4,2
2002,MN,13.91,1
2003,MN,16.92,1
2004,MN,14.59,1
2005,MN,25.82,2
2006,MN,10.84,1
2007,MN,16.26,1
2008,MN,9.6,1
2009,MN,6.14,1
2010,MN,27.62,2
2011,MN,17.49,1
2012,MN,23.01,1
2013,MN,2.78,1
2014,MN,4.16,1
2015,MN,4.74,1
2001,MO,12.6,1
2002,MO,6.66,1
2003,MO,11.74,1
2004,MO,7.88,1
2005,MO,11.52,1
2006,MO,8.42,1
2007,MO,12.49,1
2008,MO,6.15,1
2009,MO,6.24,1
2010,MO,19.16,1
2011,MO,5.25,1
2012,MO,11.06,1
2013,MO,3.13,1
2014,MO,1.03,1
2015,MO,4.18,1
2001,MS,27.31,2
2002,MS,22.91,1
2003,MS,13.09,1
2004,MS,31.76,2
2005,MS,18.04,1
2006,MS,45.84,2
2007,MS,50.96,3
2008,MS,22.28,1
2009,MS,13.51,1
2010,MS,33.83,2
2011,MS,7.28,1
2012,MS,38.92,2
2013,MS,3.08,1
2014,MS,6.54,1
2015,MS,5.76,1
2001,MT,80.02,4
2002,MT,32.06,2
2003,MT,37.74,2
2004,MT,28.81,2
2005,MT,79.28,4
2006,MT,23.63,1
2007,MT,56.21,3
2008,MT,40.8,2
2009,MT,29.86,2
2010,MT,94.6,4
2011,MT,60.45,3
2012,MT,30.41,2
2013,MT,14.93,1
2014,MT,8.04,1
2015,MT,37.88,2
2001,NC,18.5,1
2002,NC,13.29,1
2003,NC,13.18,1
2004,NC,20.18,1
2005,NC,13.65,1
2006,NC,11.03,1
2007,NC,32.62,2
2008,NC,8.67,1
2009,NC,8.61,1
2010,NC,63.9,3
2011,NC,8.55,1
2012,NC,30.63,2
2013,NC,4.05,1
2014,NC,8.87,1
2015,NC,4.52,1
2001,ND,88.05,4
2002,ND,31.78,2
2003,ND,35.86,2
2004,ND,23.2,1
2005,ND,19.91,1
2006,ND,41.08,2
2007,ND,97.53,4
2008,ND,38.59,2
2009,ND,36.8,2
2010,ND,93.84,4
2011,ND,16.08,1
2012,ND,21.66,1
2013,ND,11.32,1
2014,ND,7.34,1
2015,ND,16.97,1
2001,NE,23.7,1
2002,NE,21.14,1
2003,NE,11.97,1
2004,NE,10.56,1
2005,NE,16.33,1
2006,NE,10.46,1
2007,NE,17.82,1
2008,NE,10.53,1
2009,NE,13.01,1
2010,NE,22.35,1
2011,NE,8.58,1
2012,NE,18.76,1
2013,NE,3.36,1
2014,NE,4.03,1
2015,NE,4.55,1
2001,NH,12.11,1
2002,NH,18.32,1
2003,NH,17.28,1
2004,NH,8.15,1
2005,NH,47.04,2
2006,NH,6.15,1
2007,NH,14.52,1
2008,NH,6.99,1
2009,NH,3.07,1
2010,NH,21.19,1
2011,NH,2.86,1
2012,NH,25.23,2
2013,NH,0.82,1
2014,NH,4.43,1
2015,NH,0.92,1
2001,NJ,9.99,1
2002,NJ,9.09,1
2003,NJ,5.23,1
2004,NJ,4.91,1
2005,NJ,12.54,1
2006,NJ,9.91,1
2007,NJ,5.64,1
2008,NJ,5.85,1
2009,NJ,5.49,1
2010,NJ,11.7,1
2011,NJ,6.67,1
2012,NJ,10.45,1
2013,NJ,7.07,1
2014,NJ,1.61,1
2015,NJ,5.86,1
2001,NM,63.77,3
2002,NM,31.02,2
2003,NM,28.9,2
2004,NM,16.65,1
2005,NM,25.56,2
2006,NM,40.43,2
2007,NM,53.59,3
2008,NM,26.53,2
2009,NM,19.04,1
2010,NM,49.96,2
2011,NM,34.46,2
2012,NM,25,1
2013,NM,21.05,1
2014,NM,11.42,1
2015,NM,8.36,1
2001,NV,32.95,2
2002,NV,27.65,2
2003,NV,9.69,1
2004,NV,8.34,1
2005,NV,19.37,1
2006,NV,12.07,1
2007,NV,10.09,1
2008,NV,4.97,1
2009,NV,3.44,1
2010,NV,15.63,1
2011,NV,39.07,2
2012,NV,21.88,1
2013,NV,0.73,1
2014,NV,2.78,1
2015,NV,10.73,1
2001,NY,21.07,1
2002,NY,13.94,1
2003,NY,10.21,1
2004,NY,7.65,1
2005,NY,13.74,1
2006,NY,11.68,1
2007,NY,16.01,1
2008,NY,12.82,1
2009,NY,8.03,1
2010,NY,62.06,3
2011,NY,15.23,1
2012,NY,12.69,1
2013,NY,7.8,1
2014,NY,6,1
2015,NY,6.01,1
2001,OH,12.47,1
2002,OH,9.54,1
2003,OH,7.73,1
2004,OH,11.13,1
2005,OH,10,1
2006,OH,6.63,1
2007,OH,17.05,1
2008,OH,7.07,1
2009,OH,4.55,1
2010,OH,49.16,2
2011,OH,8.9,1
2012,OH,14.93,1
2013,OH,1.6,1
2014,OH,2.68,1
2015,OH,5.27,1
2001,OK,39,2
2002,OK,17.31,1
2003,OK,25.72,2
2004,OK,9.26,1
2005,OK,29.73,2
2006,OK,12.15,1
2007,OK,30.39,2
2008,OK,19.62,1
2009,OK,6.16,1
2010,OK,18.99,1
2011,OK,33.26,2
2012,OK,21.7,1
2013,OK,5.91,1
2014,OK,7.27,1
2015,OK,4.07,1
2001,OR,31.18,2
2002,OR,32.5,2
2003,OR,18.26,1
2004,OR,17.51,1
2005,OR,26.65,2
2006,OR,22.15,1
2007,OR,21.07,1
2008,OR,23.25,1
2009,OR,20.15,1
2010,OR,31.07,2
2011,OR,20.87,1
2012,OR,15.66,1
2013,OR,15.72,1
2014,OR,7.28,1
2015,OR,5.88,1
2001,PA,8.86,1
2002,PA,12.17,1
2003,PA,12.85,1
2004,PA,9.1,1
2005,PA,10.17,1
2006,PA,7.62,1
2007,PA,11.26,1
2008,PA,11.1,1
2009,PA,7.95,1
2010,PA,17.44,1
2011,PA,17.94,1
2012,PA,7.25,1
2013,PA,6.19,1
2014,PA,4.32,1
2015,PA,3.65,1
2001,PRI,14.73,1
2002,PRI,11.03,1
2003,PRI,13.76,1
2004,PRI,2.54,1
2005,PRI,16.83,1
2006,PRI,9.33,1
2007,PRI,10.5,1
2008,PRI,13.41,1
2009,PRI,5.26,1
2010,PRI,21.53,1
2011,PRI,13.47,1
2012,PRI,10.38,1
2013,PRI,1.63,1
2014,PRI,2.72,1
