fy,id,perCap,fillKey
2003,AK,139.67,6
2003,AL,16.04,1
2003,AR,22.72,1
2003,AZ,13.94,1
2003,CA,11.45,1
2003,CO,12.04,1
2003,CT,10.62,1
2003,DC,204.08,9
2003,DE,19.32,1
2003,FL,6.52,1
2003,GA,9,1
2003,HI,55.21,3
2003,IA,20.35,1
2003,ID,10.32,1
2003,IL,13.4,1
2003,IN,8.04,1
2003,KS,25.8,2
2003,KY,12.35,1
2003,LA,11.75,1
2003,MA,16.07,1
2003,MD,16.12,1
2003,ME,15.19,1
2003,MI,8.33,1
2003,MN,16.92,1
2003,MO,11.74,1
2003,MS,13.09,1
2003,MT,37.74,2
2003,NC,13.18,1
2003,ND,35.86,2
2003,NE,11.97,1
2003,NH,17.28,1
2003,NJ,5.23,1
2003,NM,28.9,2
2003,NV,9.69,1
2003,NY,10.21,1
2003,OH,7.73,1
2003,OK,25.72,2
2003,OR,18.26,1
2003,PA,12.85,1
2003,PR,13.76,1
2003,RI,10.69,1
2003,SC,18.42,1
2003,SD,35.61,2
2003,TN,11.93,1
2003,TX,11.63,1
2003,UT,16.66,1
2003,VA,12.56,1
2003,VT,16.48,1
2003,WA,15.05,1
2003,WI,18.21,1
2003,WV,15.65,1
2003,WY,18.89,1
