fy,id,perCap,fillKey
2005,AK,152.4,7
2005,AL,18.36,1
2005,AR,19.42,1
2005,AZ,13.82,1
2005,CA,16.69,1
2005,CO,18.17,1
2005,CT,15.09,1
2005,DC,277.07,9
2005,DE,16.58,1
2005,FL,10.87,1
2005,GA,6.03,1
2005,HI,85.92,4
2005,IA,18.52,1
2005,ID,12.1,1
2005,IL,25.97,2
2005,IN,7.97,1
2005,KS,16.41,1
2005,KY,22.81,1
2005,LA,9.84,1
2005,MA,18.05,1
2005,MD,15.41,1
2005,ME,34.28,2
2005,MI,8.8,1
2005,MN,25.82,2
2005,MO,11.52,1
2005,MS,18.04,1
2005,MT,79.28,4
2005,NC,13.65,1
2005,ND,19.91,1
2005,NE,16.33,1
2005,NH,47.04,2
2005,NJ,12.54,1
2005,NM,25.56,2
2005,NV,19.37,1
2005,NY,13.74,1
2005,OH,10,1
2005,OK,29.73,2
2005,OR,26.65,2
2005,PA,10.17,1
2005,PR,16.83,1
2005,RI,25.87,2
2005,SC,16.94,1
2005,SD,36.42,2
2005,TN,13.04,1
2005,TX,19.47,1
2005,UT,27.85,2
2005,VA,18.72,1
2005,VT,56.98,3
2005,WA,17.97,1
2005,WI,24.12,1
2005,WV,40.65,2
2005,WY,61.43,3
