fy,id,perCap,fillKey
2008,AK,106.97,5
2008,AL,12.82,1
2008,AR,12.75,1
2008,AZ,9.04,1
2008,CA,12.09,1
2008,CO,12.88,1
2008,CT,10.99,1
2008,DC,109.72,5
2008,DE,13.22,1
2008,FL,9.26,1
2008,GA,10.36,1
2008,HI,64.59,3
2008,IA,18.19,1
2008,ID,12.56,1
2008,IL,10.29,1
2008,IN,4.53,1
2008,KS,13.78,1
2008,KY,12,1
2008,LA,15.37,1
2008,MA,13.51,1
2008,MD,10.42,1
2008,ME,10.92,1
2008,MI,5.95,1
2008,MN,9.6,1
2008,MO,6.15,1
2008,MS,22.28,1
2008,MT,40.8,2
2008,NC,8.67,1
2008,ND,38.59,2
2008,NE,10.53,1
2008,NH,6.99,1
2008,NJ,5.85,1
2008,NM,26.53,2
2008,NV,4.97,1
2008,NY,12.82,1
2008,OH,7.07,1
2008,OK,19.62,1
2008,OR,23.25,1
2008,PA,11.1,1
2008,PR,13.41,1
2008,RI,6.56,1
2008,SC,15.28,1
2008,SD,29.24,2
2008,TN,8.01,1
2008,TX,9.2,1
2008,UT,16.75,1
2008,VA,10.13,1
2008,VT,17.49,1
2008,WA,14.08,1
2008,WI,12.7,1
2008,WV,18.13,1
2008,WY,16.44,1
