fy,id,perCap,fillKey
2015,AK,39.49,2
2015,AL,15.27,1
2015,AR,14.71,1
2015,AZ,11.7,1
2015,CA,4.18,1
2015,CO,7.27,1
2015,CT,8.83,1
2015,DC,163.82,7
2015,DE,6.59,1
2015,FL,1.58,1
2015,GA,3.18,1
2015,HI,16.65,1
2015,IA,2.85,1
2015,ID,3.14,1
2015,IL,8.17,1
2015,IN,1.94,1
2015,KS,7.37,1
2015,KY,4.14,1
2015,LA,7.58,1
2015,MA,9.47,1
2015,MD,8.96,1
2015,ME,9.98,1
2015,MI,2.34,1
2015,MN,4.74,1
2015,MO,4.18,1
2015,MS,5.76,1
2015,MT,37.88,2
2015,NC,4.52,1
2015,ND,16.97,1
2015,NE,4.55,1
2015,NH,0.92,1
2015,NJ,5.86,1
2015,NM,8.36,1
2015,NV,10.73,1
2015,NY,6.01,1
2015,OH,5.27,1
2015,OK,4.07,1
2015,OR,5.88,1
2015,PA,3.65,1
2015,PR,3.52,1
2015,RI,10.24,1
2015,SC,6.56,1
2015,SD,9.09,1
2015,TN,9.76,1
2015,TX,3.17,1
2015,UT,3.38,1
2015,VA,6.51,1
2015,VT,31.07,2
2015,WA,3.57,1
2015,WI,6.47,1
2015,WV,1.91,1
2015,WY,3.99,1
